Tile,preds,composite,date,LST_Mask,S2_Mask,ET_var,Mask_Name,name_var,vmax,vmin,vp25,vp50,vp75,vlenght
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,vapor_pressure,19.203957,18.676704,18.95627212524414,19.046220779418945,19.101720809936523,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,vapor_pressure,19.168612,18.937523,19.093409538269043,19.11749839782715,19.12409210205078,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,vapor_pressure,19.203957,18.676704,18.95627212524414,19.046220779418945,19.101720809936523,2248446
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,AZI,322.7694,149.76596,315.03424072265625,322.47418212890625,322.6471252441406,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,AZI,322.76935,149.75948,152.95277404785156,153.12283325195312,153.41139221191406,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,AZI,322.7694,149.75948,153.09938049316406,314.82269287109375,322.46624755859375,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,AZI,322.49298,149.76047,152.9430694580078,153.06509399414062,153.19395446777344,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,DEW,287.71664,283.91406,284.4283752441406,284.7968444824219,284.9185791015625,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,DEW,287.868,283.9137,287.4576110839844,287.5235595703125,287.59307861328125,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,DEW,287.868,283.9137,284.7433776855469,285.029541015625,287.54229736328125,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,DEW,287.86685,283.92972,287.4786376953125,287.5222473144531,287.5836486816406,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,LAI,4.9217114,0.4160485,1.2742044925689697,1.8947800993919373,3.0984923243522644,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,LAI,4.9569955,0.4340679,1.4962666928768158,2.8222521543502808,3.633703887462616,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,LAI,4.9569955,0.4160485,1.2971163988113403,2.0181193351745605,3.2017951011657715,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,LAI,4.946628,1.113001,3.183159112930298,3.606618642807007,4.013103008270264,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,LAI_pos,4.9217114,0.4160485,1.2742044925689697,1.8947800993919373,3.0984923243522644,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,LAI_pos,4.9569955,0.4340679,1.4962666928768158,2.8222521543502808,3.633703887462616,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,LAI_pos,4.9569955,0.4160485,1.2971163988113403,2.0181193351745605,3.2017951011657715,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,LAI_pos,4.946628,1.113001,3.183159112930298,3.606618642807007,4.013103008270264,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,LST,307.6597,283.15414,289.4449768066406,290.19447326660156,291.1702423095703,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,LST,307.9,281.6181,293.9356994628906,296.6883850097656,298.9672164916992,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,LST,307.9,281.6181,290.0117492675781,292.20343017578125,296.1051940917969,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,LST,306.54913,284.2646,297.57347106933594,298.9337463378906,300.4724426269531,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,LST_acq_spatial,2019-07-21T20:43:00.000000000,2019-07-21T10:11:00.000000000,2019-07-21T20:07:00.000000000,2019-07-21T20:43:00.000000000,2019-07-21T20:43:00.000000000,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,LST_acq_spatial,2019-07-21T20:43:00.000000000,2019-07-21T10:11:00.000000000,2019-07-21T10:19:00.000000000,2019-07-21T10:19:00.000000000,2019-07-21T10:19:00.000000000,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,LST_acq_spatial,2019-07-21T20:43:00.000000000,2019-07-21T10:11:00.000000000,2019-07-21T10:19:00.000000000,2019-07-21T20:07:00.000000000,2019-07-21T20:43:00.000000000,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,LST_acq_spatial,2019-07-21T20:43:00.000000000,2019-07-21T10:11:00.000000000,2019-07-21T10:19:00.000000000,2019-07-21T10:19:00.000000000,2019-07-21T10:19:00.000000000,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,SP,1008.12665,993.67596,1003.145751953125,1004.8238830566406,1005.9490356445312,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,SP,1008.19885,989.64624,998.8693237304688,1000.8658447265625,1002.5641479492188,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,SP,1008.19885,989.64624,1000.3449096679688,1002.6600952148438,1004.896728515625,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,SP,1007.5008,989.7827,998.0241394042969,1000.2313232421875,1001.8999328613281,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,SSRD,733.0834,18.48133,19.42956018447876,19.93992042541504,54.042978286743164,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,SSRD,745.48224,18.570486,656.0846710205078,668.6391296386719,673.1241302490234,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,SSRD,744.6927,18.48133,19.9954833984375,55.40195083618164,669.1724853515625,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,SSRD,745.48224,19.759825,664.8033447265625,670.7626342773438,676.9530334472656,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,SSRD_mean2,376.91592,195.19809,304.97672271728516,307.58172607421875,310.06172943115234,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,SSRD_mean2,383.83347,194.7117,304.86112213134766,307.53733825683594,310.1182098388672,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,SSRD_mean2,383.83347,194.90762,305.20135498046875,307.6398620605469,310.0669250488281,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,SSRD_mean2,376.33954,194.7117,303.12640380859375,306.97271728515625,310.3015441894531,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,TEMP,294.61877,292.129,292.8681945800781,293.0578308105469,294.2422180175781,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,TEMP,294.66452,292.11807,294.1488037109375,294.2931213378906,294.4277038574219,476866
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,Where0,TEMP,294.66452,292.11807,293.07806396484375,294.2039489746094,294.39501953125,600009
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Canopy,WhereNOT0,TEMP,294.64755,292.21576,294.1438293457031,294.28778076171875,294.39984130859375,130419
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,Where0,VZA,28.219425,19.796047,20.55971336364746,21.56237030029297,26.355541229248047,253562
X64_Y42,allpred,minVZA,21-07-2019,yes,no,Soil,WhereNOT0,VZA,28.219425,19.796047,23.435461044311523,23.86383056640625,24.446613311767578,476866
